"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"AS.JUVENIL ACREMIF","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","13.889,12"
"AS.LEON.FAMIL.Y AMIG. ENFER. MENT","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","41.866,36"
"AS.NACIONAL ABOGADOS LABORALIS.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","4.980,00"
"AS.PARA LA FORMACION EUROFORO 2000","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","60.357,40"
"AS.PAYAS Y GITANAS ROMI","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","30.000,00"
"AS.PEÑALAR","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.000,00"
"AS.PROM.Y DES.PROV.ZAMORA ADEPRO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","26.792,39"
"AS.PROV.BURGOS (APROINBU)","Mejorar la empleabilidad de las personas desempleadas","31.687,55"
"AS.PROV.BURGOS (APROINBU)","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","29.477,33"
"AS.PUENTE VIDA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","348,00"
"AS.SORIANA DE AYUDA AL MINU","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","49.997,00"
"AS.UNIV.IBEROAMERICANA DE POSTGRADO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"AS.VALLISOL.EMPRES.ACADEM.ENSEÑANZA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","30.652,65"
"AS.VIRGEN DEL CAMINO","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","27.993,72"
"ASAJA PALENCIA S.C.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
