nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
JUNTA DE EXTREMADURA,OBR0801081-REFORMAS GENERALES EN CP ANTONIO CHAVERO DE USAGRE,"410.768,39",410768.39,"410.768,39",410768.39,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801084-REFORMA DE ASEOS EN EL CP MAESTRO PEDRO VERA,"109.672,38",109672.38,"109.672,38",109672.38,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801096- ESTUDIO DE ESTABILIDAD DE TALUD EN C.R.A. ALMENARA EN GATA,"3.480,00",3480.00,"3.480,00",3480.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801086-REFORMA DE LA PISTA POLIDEPORTIVA Y MEJORA DEL SISTEMA DE CALEFACCIÓN EN EL CRA TIERRA DE BARROS,"49.522,17",49522.17,"49.522,17",49522.17,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17003-REHABILITACIÓN ESCAL Y SALAS PALACIO ALTAMARINO ORELLANA LA VIEJA,"225.370,31",225370.31,"225.370,31",225370.31,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17003-OBRAS REHABILIT SALAS Y ESCALERAS PRINCIPAL PALACIÓN DE LOS ALTAMIRANO,"4.900,00",4900.00,"4.900,00",4900.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,"OB072PA17003-H.D.A. T OBRAS HIDRAULICAS , SALAS Y ESCALERA PRINCIPAL DEL PALACIO DE LOS ALTAMIRANO","5.700,00",5700.00,"5.700,00",5700.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17011-RESTAURACIÓN IGLESIA NTRA SRA DE LA ANTIGUA EN SIRUELA,"137.068,26",137068.26,"137.068,26",137068.26,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17013-RESTAURACIÓN CUBIERTA NAVA IGLESIA BUEN VARÓN,"126.801,12",126801.12,"126.801,06",126801.06,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17002-HD FACULT OBRAS RESTAURACIÓN IGLESIA SAN MATEO,"1.500,00",1500.00,"1.500,00",1500.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17002-H.D.C OBRAS RESTAURAC FACHADA IGLESIA SAN MATEO,"2.100,00",2100.00,"2.100,00",2100.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17011-H DIR Y COORD SEGU Y SALUD OBRA,"4.300,00",4300.00,"4.300,00",4300.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17011-DIRECCIÓN FACULTATIVA OBRA,"3.490,00",3490.00,"3.490,00",3490.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17004-H.D FACULT OBRAS RESTAURACIÓN INTERIOR INMACULADA CONCEPCIÓN,"1.900,00",1900.00,"1.900,00",1900.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17004-HD Y COORD DE SEG Y SAL OBRAS RESTAURAC INTERIOR IGLESIA INMACULADA,"2.500,00",2500.00,"2.500,00",2500.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17020-REHABILIT IGLESIA SAN BARTOLOMÉ,"63.116,49",63116.49,"63.116,49",63116.49,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072CR01033-Restaurac. Retablo mayor convento Ntra Sra de los Ángeles Carmelitas,"24.998,00",24998.00,"24.998,00",24998.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,"OB072CR01034-Badajoz. Trabajos de restauración. Pinturas murales del techo de la bibl ""Soc.eco amigos del País""","29.997,60",29997.60,"29.997,60",29997.60,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA01035-Cañamero. Restaurac. Pinturas murales ermita Ntra Sra de Belén,"21.396,20",21396.20,"21.396,20",21396.20,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
