nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
ASOCIACION ESPAÑOLA DE EXPORTADORES DE PRODUCTOS E INSTALACIONES SIDERURGICAS,MDIR-EQUP. Y PROD. SIDERURGICOS- RUSIA - SIDEREX,"1.114,29",1114.29,"1.114,29",1114.29,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION ESPAÑOLA DE FABRICANTES DE ACCESORIOS COMPONENTES Y HERRAMIENTAS DE CORTE PARA MAQUINAS- HERRAMIENTA,MDIR - AMT - MEXICO 2,"932,73",932.73,"932,73",932.73,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION ESPAÑOLA DE FABRICANTES DE MAQUINAS- HERRAMIENTA,FPA MACH-TOOL 2008-POZNAN-MAQ.HTA-AFM,"14.160,82",14160.82,"14.160,82",14160.82,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ASOCIACION ESPAÑOLA DE FABRICANTES EXPORTADORES DE MATERIAL, EQUIPOS Y SERVICIOS FERROVIARIOS",FPA1-UIC HIGHSPEED 2008-AMSTERDAM-FERROCARR-MAFEX,"4.796,13",4796.13,"4.796,13",4796.13,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ASOCIACION ESPAÑOLA DE FABRICANTES EXPORTADORES DE MATERIAL, EQUIPOS Y SERVICIOS FERROVIARIOS","MDIR1-REPÚBLICA CHECA, ESLOVAQUIA-MAFEX","985,67",985.67,"985,67",985.67,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ASOCIACION ESPAÑOLA DE FABRICANTES EXPORTADORES DE MATERIAL, EQUIPOS Y SERVICIOS FERROVIARIOS",MDIR1-AUSTRALIA-FERROCARRIL-MAFEX,"1.410,91",1410.91,"1.410,91",1410.91,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION ESP.FABR.EXPORT.MAQ.CONST.O.P,ASOCIACION ESP.FABR.EXPORT.MAQ.CONST.O.P,"84.173,00",84173.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION FABRICANTES MAQUINAS-HERRAMIE,ASOCIACION FABRICANTES MAQUINAS-HERRAMIENTA,"70.294,00",70294.00,"70.294,00",70294.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION FABRICANTES MUEBLES HOGAR,ASOCIACION FABRICANTES MUEBLES HOGAR,"104.445,00",104445.00,"104.445,00",104445.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION FLUIDEX,ASOCIACION FLUIDEX,"33.016,00",33016.00,"33.016,00",33016.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
