BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
"A + 2, C.B.",Mejorar la empleabilidad de las personas desempleadas,"2.673,00"
AZCONGRESOS Y COMUNICACION SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.398,48"
AZVASE S.L.,Mejorar la empleabilidad de las personas desempleadas,"3.732,26"
"AZVASE, S.L",Mejorar la empleabilidad de las personas desempleadas,"2.522,40"
"AZVASE, S.L","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","5.520,00"
"B2BIS INGENIERIA DE INTEGRACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"BAG MOTORSPORT, S.L.",Mejorar la empleabilidad de las personas desempleadas,"7.019,42"
BALIKESIR S.L.,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"BALSAT, C.B.",Mejorar la empleabilidad de las personas desempleadas,"372,60"
BANHEV & ASOCIADOS SL,Mejorar la empleabilidad de las personas desempleadas,"3.692,70"
"BAP HEALTH OUTCOMES RESEARCH, S.L.",Mejorar la empleabilidad de las personas desempleadas,"11.250,00"
"BAP HEALTH OUTCOMES RESEARCH, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.200,00"
"BAR RESTAURANTE LOS ARCOS, C.B.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","6.720,00"
"BARBOSA PROJECT, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.440,00"
BARCENA Y FOMBELLA ASESORES S.L.,Mejorar la empleabilidad de las personas desempleadas,"2.584,80"
BARREDA DIAZ ASESORES S.L.,Mejorar la empleabilidad de las personas desempleadas,"2.584,80"
BARREDA DIAZ ASESORES S.L.,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"BARTZ, S.A.",Mejorar la empleabilidad de las personas desempleadas,"3.608,70"
"BAUS INGENIEROS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"5.227,20"
"BC BIOCON INTERNACIONAL, S.A.",Mejorar la empleabilidad de las personas desempleadas,"3.636,60"
"BELVAL SERVICIOS Y VENTAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.061,48"
"BELVAL SERVICIOS Y VENTAS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"BIESCA AGROFORESTAL Y MEDIOAMBIENTE, 
S.L.",Mejorar la empleabilidad de las personas desempleadas,"720,00"
"BIKE RAPAIR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.213,45"
"BIKE REPAIR, S.L.L","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"BIOINGENIERIA MEDIOAMBIENTAL, SL",Mejorar la empleabilidad de las personas desempleadas,"3.000,00"
"BIONORTE, S.A.",Mejorar la empleabilidad de las personas desempleadas,"15.750,00"
"BIOSFERA CONSULTORIA MEDIOAMBIENTAL, 
SL",Mejorar la empleabilidad de las personas desempleadas,"2.605,50"
"BITACORA PUBLICIDAD, S.L.",Mejorar la empleabilidad de las personas desempleadas,"5.014,80"
"BITACORA PUBLICIDAD, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.776,30"
"BLAGUT, SL",Mejorar la empleabilidad de las personas desempleadas,"600,00"
"BLAGUT, SL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.868,22"
"BLANCO GONZALEZ Y MIER, S.L. CENSORES 
JURADOS DE CUENTAS","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
BLANCO PELUQUEROS SL,Mejorar la empleabilidad de las personas desempleadas,"1.459,50"
"BOCCETO CLIMA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"BOLSAPLAST ASTURIAS, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
"BUFETE J.G. MONTOTO Y CANDIDO 
GONZALEZ SL",Mejorar la empleabilidad de las personas desempleadas,"4.078,80"
"BUFETE LOPEZ CASTRO ABOGADOS, SL",Mejorar la empleabilidad de las personas desempleadas,"6.710,40"
"BUS SOLUCIONES INFORMATICAS, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"BV INSTALACIONES ELECTRICAS, C.B.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"BV INSTALACIONES ELECTRICAS, CB",Mejorar la empleabilidad de las personas desempleadas,"16.480,65"
"C.D.I. CREACION DE IMAGEN, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.306,30"
"C.S.G. ELECTROTECNICA CONFORT 
SEGURIDAD Y GESTION, SL",Mejorar la empleabilidad de las personas desempleadas,"4.267,20"
"CABAL Y CARCABA ASESORES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.263,60"
"CAFE KAME, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.330,46"
"CAFE MARX, C.B.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.170,00"
"CAFETERIA TALISMAN, CB","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.160,00"
CAJA RURAL DE ASTURIAS,Mejorar la empleabilidad de las personas desempleadas,"7.200,00"
"CALDERERIA FELIPE SANCHEZ, S.L",Mejorar la empleabilidad de las personas desempleadas,"3.272,10"
"CALDERERIAS LLANERA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"CALDERERIAS LLANERA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.440,00"
"CALEM DEL PRINCIPADO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.240,60"
"CAMPO DE CASARIEGO, S.L",Mejorar la empleabilidad de las personas desempleadas,"1.653,00"
"CAMPO DE CASARIEGO, S.L","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.300,00"
CAMPO SOLIDARIO,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","26.000,00"
CAMPO SOLIDARIO,"Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","9.295,00"
"CANDAS MANZANO, S.L",Mejorar la empleabilidad de las personas desempleadas,"19.529,10"
"CANDAS MANZANO, S.L","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"CANSEVI, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.300,00"
"CARES AGENCIA DE PUBLICIDAD,S.A",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"CARES AGENCIA DE PUBLICIDAD,S.A","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"CARGA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"CARJOEL, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
CARLOS ALBERDI ARQUITECTOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.811,20"
"CARNICERIA FERNANDO, C.B.",Mejorar la empleabilidad de las personas desempleadas,"2.076,30"
"CARNICEROS FERNANDEZ LADREDA 13, S.L.L",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
CARPINTERIA ALFER CB,Mejorar la empleabilidad de las personas desempleadas,"13.946,40"
"CARPINTERIA METALICA RODRIGUEZ 
FERNANDEZ, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"CARPINTERIA NAVES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.697,20"
"CARRIZO & ESPINA, CB",Mejorar la empleabilidad de las personas desempleadas,"2.502,00"
"CARROCERIAS AVELINO MEJIDO, SLL",Mejorar la empleabilidad de las personas desempleadas,"3.020,40"
"CARROCERIAS CAVISAN, SL",Mejorar la empleabilidad de las personas desempleadas,"3.054,00"
"CARROCERIAS FERQUI, S.L.",Mejorar la empleabilidad de las personas desempleadas,"20.116,84"
"CARROCERIAS GUMAR, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"CARROCERIAS SPORT LENA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.980,40"
"CARROZADOS SOTIELLO XXI, S.L.",Mejorar la empleabilidad de las personas desempleadas,"600,00"
"CARROZADOS SOTIELLO XXI, SL",Mejorar la empleabilidad de las personas desempleadas,"10.322,00"
"CARSA MOVIL, S.A.",Mejorar la empleabilidad de las personas desempleadas,"3.513,60"
"CASA GERARDO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.408,50"
"CASARES 2007, S.L.",Mejorar la empleabilidad de las personas desempleadas,"720,00"
"CASCAYU CERAMICAS, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"CASFER SAT, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.667,60"
"CASLE POSTVENTA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"CASOMERA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"CASTAÑO ASESORES ADMINISTRADORES DE 
FINCAS, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.680,00"
"CASTIÑEIRAS URDANOZ, EVARISTO 
000849455F S.L.N.E.",Mejorar la empleabilidad de las personas desempleadas,"720,00"
"CASTRO ALONSO ASESORES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.474,00"
"CECOSA HIPERMERCADOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"8.250,00"
CEFIVA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","11.978,40"
"CENTA GESTION TECNICA ASTUR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.246,00"
"CENTIUM AUDITORES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"9.045,90"
"CENTRAL EMPRESARIAL DE SERVICIOS 
INTERNACIONALES Y NACIONALES DE 
TRANSPORTE (CESINTRA)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.200,00"
"CENTRO DE ANALISIS Y DISEÑO DE 
ESTRUCTURAS",Mejorar la empleabilidad de las personas desempleadas,"5.281,20"
"CENTRO DE ANALISIS Y DISEÑO DE 
ESTRUCTURAS SA (CADESA)",Mejorar la empleabilidad de las personas desempleadas,"1.260,00"
"CENTRO DE EDUCACION DE PERSONAS 
ADULTAS DEL NALON",Mejorar la empleabilidad de las personas desempleadas,"21.911,50"
"CENTRO DE ESTETICA INTEGRADA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.160,00"
"CENTRO DE ESTETICA INTEGRADA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"CENTRO DE ESTUDIOS DEL PRINCIPADO, SL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.160,00"
CENTRO DE FISIOTERAPIA EL LLANO CB,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.159,70"
"CENTRO DE INICIATIVAS, SOLIDARIDAD Y 
EMPLEO",Mejorar la empleabilidad de las personas desempleadas,"30.462,25"
"CENTRO ESPECIAL DE EMPLEO APTA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.640,00"
"CENTRO ESPECIAL DE EMPLEO APTA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","22.701,54"
"CENTRO GERONTOLOGICO WASHINGTON, 
S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"CENTRO INTEGRADO DE F.P. DE 
COMUNICACIÓN, IMAGEN Y SONIDO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","29.664,76"
"CENTRO INTEGRADO DE F.P. DE 
MANTENIMIENTO Y SERVICIOS A LA 
PRODUCCIÓN DE LANGREO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","45.435,60"
"CENTRO LUDICO INFANTIL EL HIPO TITO, SL",Mejorar la empleabilidad de las personas desempleadas,"2.693,40"
"CENTRO ODONTOLOGICO LASER DENTAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"830,14"
CENTRO OPTICO LA CALZADA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.137,80"
"CENTRO OPTICO LOS FRESNOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
CENTRO TECNOLOGICO IGLESIAS SL,Mejorar la empleabilidad de las personas desempleadas,"2.142,00"
CERES - ASTURIAS,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","7.592,40"
CERES - ASTURIAS,Mejorar la empleabilidad de las personas desempleadas,"15.120,00"
CERES - ASTURIAS,"Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","7.592,40"
"CETS INFORMATICA DEL PRINCIPADO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"436,54"
"CHAPISTERIA BENIGNO E HIJOS, C.B.",Mejorar la empleabilidad de las personas desempleadas,"2.298,30"
"CHAPISTERIA DOSHER, S.L.",Mejorar la empleabilidad de las personas desempleadas,"563,52"
CHATERNET SL,Mejorar la empleabilidad de las personas desempleadas,"733,59"
"CHIKILAND 7476, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,"891,60"
"CHIPBIP SERVICIOS Y SISTEMAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.491,07"
"CIENCIA E INGENIERIA ECONOMICA Y 
SOCIAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"28.384,54"
"CIENCIA E INGENIERIA ECONOMICA Y 
SOCIAL, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","894,88"
"CIENCIA E INGENIERIA ECONOMICA Y 
SOCIAL, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
CIFP ESCUELA DE HOSTELERÍA,Prevención del abandono escolar y refuerzo de la formación inicial,"55.757,60"
CIFP SECTORES INDUSTRIAL Y DE SERVICIOS,Prevención del abandono escolar y refuerzo de la formación inicial,"37.156,51"
CIFP VALLINIELLO,Prevención del abandono escolar y refuerzo de la formación inicial,"53.741,39"
"CINOS ARQUITECTOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.244,50"
"CLARCAT CANTABRICO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"CLECE, S.A","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","10.681,68"
"CLIMA GIJON, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.720,80"
"CLIMALLANO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"16.419,06"
"CLIMALLANO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","320,00"
"CLIMASTAR GLOBAL COMPANY, S.L",Mejorar la empleabilidad de las personas desempleadas,"16.400,85"
"CLIMASTAR GLOBAL COMPANY, S.L.",Mejorar la empleabilidad de las personas desempleadas,"5.280,00"
"CLIMATIZACIONES ASTURIAS, SL",Mejorar la empleabilidad de las personas desempleadas,"2.093,56"
"CLINICA DE FISIOTERAPIA JUAN XXIII, C.B.",Mejorar la empleabilidad de las personas desempleadas,"900,00"
"CLINICA DE FISIOTERAPIA MARIA LUZ 
RODRIGUEZ, C.B",Mejorar la empleabilidad de las personas desempleadas,"4.109,10"
"CLINICA DENTAL DOCTOR ESPINOSA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"CLINICA DENTAL DRES. VALLINA, S.L.P.",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"CLINICA DENTAL LOS FRESNOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.080,00"
"CLINICA DENTAL SAN PEDRO, S.L.U.",Mejorar la empleabilidad de las personas desempleadas,"600,00"
CLINICA INTEGRAL DENTAL SOCIEDAD CIVIL,Mejorar la empleabilidad de las personas desempleadas,"2.760,00"
"CLINICA INTEGRAL DENTAL, S.C.",Mejorar la empleabilidad de las personas desempleadas,"2.534,40"
"CLINICA INTEGRAL DENTAL, S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.003,70"
"CLINICA JUNQUERA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"CLINICA ORAN 17, S.C.",Mejorar la empleabilidad de las personas desempleadas,"1.413,33"
"CLINICA ORAN 17, S.C.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"CLINICA SANTA SUSANA, C.B.",Mejorar la empleabilidad de las personas desempleadas,"4.280,10"
"CLINICA SICILIA, S. L.",Mejorar la empleabilidad de las personas desempleadas,"13,92"
"CLINICA SICILIA, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","289,34"
"CLINICA TEJERINA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"CLINICA TEJERINA, SL",Mejorar la empleabilidad de las personas desempleadas,"6.323,10"
"CLINICA VETERINARIA LA FLORIDA, SL",Mejorar la empleabilidad de las personas desempleadas,"167,96"
"CLINICALUCAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.767,30"
"CLN SERVICIOS INTEGRALES, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.141,40"
CLUB ASTURIANO DE CALIDAD,"Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","26.220,48"
COAG ASTURIAS,Mejorar la empleabilidad de las personas desempleadas,"10.510,50"
COAG ASTURIAS,"Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","8.400,00"
COALLA LOGISTICA SL,Mejorar la empleabilidad de las personas desempleadas,"2.883,60"
"COAS ELECTRA, SL",Mejorar la empleabilidad de las personas desempleadas,"1.766,00"
COELAN ELECTRICISTAS LANGREANOS. S.L,Mejorar la empleabilidad de las personas desempleadas,"8.321,10"
COELAN ELECTRICISTAS LANGREANOS. S.L,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.303,40"
"COFFEECUP SOFTWARE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"17.914,50"
"COGRUAS, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,"3.837,60"
"COLEGIO OFICIAL DE AGENTES 
COMERCIALES DE OVIEDO",Mejorar la empleabilidad de las personas desempleadas,"2.640,00"
"COLEGIO OFICIAL DE GESTORES 
ADMINISTRATIVOS",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"COLEGIO OFICIAL DE GESTORES 
ADMINISTRATIVOS","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","4.800,00"
COLEGIO URSULINAS DE JESUS,Mejorar la empleabilidad de las personas desempleadas,"600,00"
"COMERCIAL FERNANDEZ LAS PALMERAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"COMERCIAL FERNANDEZ LAS PALMERAS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"COMERCIAL GRAFER, S.A.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.500,00"
COMERCIAL MUYAL SL,Mejorar la empleabilidad de las personas desempleadas,"1.404,20"
"COMERCIALIZACION Y DISTRIBUCION DE 
LEGUMBRES EXCEPCIONALES SL",Mejorar la empleabilidad de las personas desempleadas,"2.892,30"
"COMERCIALIZADORA DE MODA DEL NORTE, 
S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.170,40"
"COMERCIO ELECTRONICO B2B 2000, S.A.",Mejorar la empleabilidad de las personas desempleadas,"15.856,80"
COMERCIO Y ASISTENCIA SA,Mejorar la empleabilidad de las personas desempleadas,"3.868,80"
"COMETALVI HNOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.522,50"
COMISIONES OBRERAS,Mejorar la empleabilidad de las personas desempleadas,"904.667,49"
"COMPLEJO HOSTELERO SAN CUCAO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"COMPUTER SCIENCES ESPAÑA, S.A.",Mejorar la empleabilidad de las personas desempleadas,"48.224,46"
"COMPUTER SCIENCES ESPAÑA, S.A.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","10.200,00"
COMUNIDAD DE PROPIETARIOS CORRIDA 48,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.200,00"
"COMUNIDAD DE PROPIETARIOS EDIFICIO 
GAUZON III DE CASTRILLON","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"COMUNIDAD DE PROPIETARIOS PLAZA JUAN 
XXIII 2 OVIEDO","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.587,60"
"COMUNIDAD HEREDEROS GUZMAN 
MARTINEZ ALVAREZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"CONFEDERACIÓN COORDINADORA ESTATAL 
DE MINUSVÁLIDOS",Mejorar la empleabilidad de las personas desempleadas,"72.750,00"
"CONFEDERACIÓN INDEPENDIENTE DE 
SINDICATOS DEL PRINCIPADO DE ASTURIAS - 
CISA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","9.600,00"
"CONGELADOS NAMARE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"CONSERVAS AGROMAR, S.A.",Mejorar la empleabilidad de las personas desempleadas,"2.088,00"
"CONSTRUCCION Y REPARACION DE 
MAQUINARIA FERNANDEZ SL",Mejorar la empleabilidad de las personas desempleadas,"600,00"
"CONSTRUCCIONES ALFREDO RODRIGUEZ, SL",Mejorar la empleabilidad de las personas desempleadas,"5.629,20"
"CONSTRUCCIONES DAYBASA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"CONSTRUCCIONES DYHER NORTE 2004, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.092,40"
"CONSTRUCCIONES METALICAS ESPECIALES 
STBASTUR, S.A.",Mejorar la empleabilidad de las personas desempleadas,"4.510,80"
"CONSTRUCCIONES MONTEPICO DE GIJON, 
S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"CONSTRUCCIONES TRIO PRESNO, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"CONSTRUCCIONES VIGIL ESCALERA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","4.800,00"
"CONSTRUCCIONES Y CONTRATAS GARCIA 
LLANOS, C.B.",Mejorar la empleabilidad de las personas desempleadas,"1.280,00"
"CONSTRUCCIONES Y PROMOCIONES 
COPROSA, S.A.",Mejorar la empleabilidad de las personas desempleadas,"41.297,76"
CONSTRUCCIONES Y PROYECTOS DICAR S.A.,Mejorar la empleabilidad de las personas desempleadas,"4.227,30"
"CONSTRUCCIONES Y REFORMAS EL CAROLU, 
S.L.U.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.200,00"
"CONSTRUCTORA ECOLOGICA DE VIVIENDAS, 
S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","18.923,33"
"CONSULTORES DE DIRECCION Y CONTROL 
DE GESTION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.510,44"
"CONSULTORES DEL NORTE, S.C.L.",Mejorar la empleabilidad de las personas desempleadas,"720,00"
"CONTA KING, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.160,00"
"CONTRATAS IGLESIAS, S.A. REYNOBER S.A. 
UTE",Mejorar la empleabilidad de las personas desempleadas,"1.398,87"
"CONTRATAS IGLESIAS, SA",Mejorar la empleabilidad de las personas desempleadas,"16.279,80"
"CONTRATAS RUBELUS, SL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
"CONTROL INGENIERIA Y SERVICIOS, S.A.",Mejorar la empleabilidad de las personas desempleadas,"4.066,20"
"CONTROL INGENIERIA Y SERVICIOS, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"CONTROL Y CALIDAD ALIMENTARIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.727,19"
"CONTROL Y CALIDAD ALIMENTARIA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.300,00"
"CONTROLES ELECTROMAGNETICOS, S.L. 
(CONELET)",Mejorar la empleabilidad de las personas desempleadas,"4.510,36"
"CONTROLES ELECTROMAGNETICOS, S.L. 
(CONELET)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.906,70"
"COOFEECUP SOFTWARE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"720,00"
"COOFEECUP SOFTWARE, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.200,00"
COOP AGRICOLA ALLANDESA,Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"COOP DE AGRICULTORES, CONSUMIDORES Y 
USUARIOS DEL CONCEJO DE GIJON, S. COOP",Mejorar la empleabilidad de las personas desempleadas,"3.900,00"
COOP SAN ISIDRO DE UJO,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"COOPERATIVA MECANICA DE FABRICADOS 
S.C.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"COOPERATIVA MECANICA FABRICADOS 
COMEFA, S. COOP. LTDA.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"COROÑA, S.A.",Mejorar la empleabilidad de las personas desempleadas,"27.000,00"
"CORPORACION ALIMENTARIA PEÑASANTA, 
S.A.",Mejorar la empleabilidad de las personas desempleadas,"22.518,30"
CORRAONES GIJON SL,Mejorar la empleabilidad de las personas desempleadas,"2.296,20"
"CORREDOR ABADIAS, SUSANA MARIA 
000890578G. S.L.N.E.",Mejorar la empleabilidad de las personas desempleadas,"13.035,72"
"CORREDURIA DE SEGUROS ZARASTUR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"COSAS VERDES , S.L.",Mejorar la empleabilidad de las personas desempleadas,"720,00"
"COUNCIL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.592,00"
"COVEISA, S.A",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"COVIASTUR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.055,50"
"COVIASTUR, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.037,70"
