"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"IMPACTE COMUNICACIO VISUAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","670,86"
"IMPACTE FORMACIO, SL","Mejorar la empleabilidad de las personas desempleadas","1343,41"
"IMPACTE GRAN FORMAT SL","Mejorar la empleabilidad de las personas desempleadas",111
"IMPACTE INFORMATICA, SL","Mejorar la empleabilidad de las personas desempleadas","3036,91"
"IMPACTMEDIA SA","Mejorar la empleabilidad de las personas desempleadas","282,22"
"IMPACTO CENTRAL DE MEDIOS CONCERTADOS, SL","Mejorar la empleabilidad de las personas desempleadas","3119,87"
"IMPACTO COLECCIONABLES, S.L.","Mejorar la empleabilidad de las personas desempleadas","545,09"
"IMPACTO VISUAL DIRECTO S.L.","Mejorar la empleabilidad de las personas desempleadas","214,82"
"IMPACTOS AMBIENTALES Y PROYECTOS SL","Mejorar la empleabilidad de las personas desempleadas","98,14"
"IMPACTOS PUBLICITARIOS EN INTERNET, SL","Mejorar la empleabilidad de las personas desempleadas","1348,1"
"IMPAKTO PROGRAMACION SL","Mejorar la empleabilidad de las personas desempleadas",280
"IMPALA 2.000 SL","Mejorar la empleabilidad de las personas desempleadas","5852,32"
"IMPALA CAPITAL PARTNERS SL","Mejorar la empleabilidad de las personas desempleadas","811,34"
"IMPALA NETWORK SOLUTIONS, SL","Mejorar la empleabilidad de las personas desempleadas","5084,81"
"IMPALSA SL","Mejorar la empleabilidad de las personas desempleadas","2682,63"
"IMPAPERIC, SL","Mejorar la empleabilidad de las personas desempleadas","2356,8"
"IMPAUTO JED, S.L.","Mejorar la empleabilidad de las personas desempleadas","156,96"
"IMPE (AYTO. DE HUESCAR)","Mejorar la empleabilidad de las personas desempleadas","304029,9"
"IMPECO-IMPORT DE PAPEL SL","Mejorar la empleabilidad de las personas desempleadas","688,85"
"IMPEJAPAN, SL","Mejorar la empleabilidad de las personas desempleadas","1200,06"
"IMPEL 2000 SL","Mejorar la empleabilidad de las personas desempleadas","3566,6"
"IMPER AISLAN SL","Mejorar la empleabilidad de las personas desempleadas","1621,06"
"IMPER MELO SL","Mejorar la empleabilidad de las personas desempleadas","439,11"
"IMPERAGUA 2000 SL","Mejorar la empleabilidad de las personas desempleadas","1176,66"
"IMPERATOR EXPORT IMPORT SL","Mejorar la empleabilidad de las personas desempleadas","573,33"
"IMPERBARRADO, S.L.","Mejorar la empleabilidad de las personas desempleadas","182,04"
"IMPERBEALIZACIONES TICSA, S.L.","Mejorar la empleabilidad de las personas desempleadas","2106,16"
"IMPERCAYA SL","Mejorar la empleabilidad de las personas desempleadas","1706,66"
"IMPERCUNE, S.L.","Mejorar la empleabilidad de las personas desempleadas","580,86"
"IMPERGAL SL","Mejorar la empleabilidad de las personas desempleadas","1436,63"
"IMPERIAL BILBAINA SA","Mejorar la empleabilidad de las personas desempleadas","1893,04"
"IMPERIAL CB","Mejorar la empleabilidad de las personas desempleadas","603,34"
"IMPERIAL CLIMATIZACIONES, SL","Mejorar la empleabilidad de las personas desempleadas","3980,96"
"IMPERIAL HOSTELERA 2007,S.L.","Mejorar la empleabilidad de las personas desempleadas","821,61"
"IMPERIAL MANUFACTURAS COMPANY SL","Mejorar la empleabilidad de las personas desempleadas","5002,59"
"IMPERIAL REPRESENTACIONES SL","Mejorar la empleabilidad de las personas desempleadas","47,2"
"IMPERIO CORP, SL","Mejorar la empleabilidad de las personas desempleadas","775,08"
"IMPERIO DEL ANTILOPE SA","Mejorar la empleabilidad de las personas desempleadas","148,33"
"IMPERIO OTAKU S.L.","Mejorar la empleabilidad de las personas desempleadas","247,9"
"IMPERIO POP SL","Mejorar la empleabilidad de las personas desempleadas","106,26"
"IMPERIO VIRTUAL SL","Mejorar la empleabilidad de las personas desempleadas","297,69"
"IMPERIO-IV DINASTIA, S.L.","Mejorar la empleabilidad de las personas desempleadas","710,63"
"IMPERIUM LULAJO, S.L.","Mejorar la empleabilidad de las personas desempleadas","136,66"
"IMPERLEON ESPANA, S.L.","Mejorar la empleabilidad de las personas desempleadas","1288,96"
"IMPERMAGLO, S.L.","Mejorar la empleabilidad de las personas desempleadas","966,72"
"IMPERMEABILIZACION DE TEJADOS SL","Mejorar la empleabilidad de las personas desempleadas","467,43"
